Nationality,Country of Nationality,Number of Arrivals - 2015 ,Number of Arrivals - 2016,Number of Arrivals - 2017,Percentage Share - 2015,Percentage Share - 2016,Percentage Share - 2017,Percentage Change - 2016/2015,Percentage Change - 2017/2016
North America,Canada,281306,317239,335439,3.5,3.6,3.34,12.8,5.7
North America,U.S.A,1213624,1296939,1376919,15.12,14.73,13.72,6.9,6.2
North America,Total,1494930,1614178,1712358,18.62,18.33,17.06,8,6.1
Central and South Amercia,Argentina,9351,12308,14875,0.12,0.14,0.15,31.6,20.9
Central and South Amercia,Brazil,20610,21289,24453,0.26,0.24,0.24,5,14.9
Central and South Amercia,Mexico,14049,15689,18114,0.18,0.18,0.18,11.7,15.5
Central and South Amercia,Others,26821,29444,34625,0.33,0.33,0.35,9.8,17.6
Central and South Amercia,Total,70831,78730,92067,0.88,0.89,0.92,11.2,16.9
Western Europe,Austria,33670,33089,31832,0.42,0.38,0.32,-1.7,-3.8
Western Europe,Belgium,36684,37960,41902,0.46,0.43,0.42,3.5,10.4
Western Europe,Denmark,24073,24717,26761,0.3,0.28,0.27,2.7,8.3
Western Europe,Finland,18129,18371,20384,0.23,0.21,0.2,1.3,11
Western Europe,France,230854,238707,249620,2.88,2,2.49,3.4,4.6
Western Europe,Germany,248314,265928,269380,3.09,3.02,2.68,7.1,1.3
Western Europe,Greece,8087,9048,10286,0.1,0.1,0.1,11.9,13.7
Western Europe,Ireland,32973,36440,31293,0.41,0.41,0.38,10.5,4.3
Western Europe,Italy,88091,95417,111915,1.1,1.08,12,8.3,17.3
Western Europe,Netherlands,66181,71840,76652,0.82,0.82,0.76,8.6,6.7
Western Europe,Norway,19757,20148,20882,0.25,0.23,0,2,3.6
Western Europe,Portugal,44616,54439,66378,0.56,0.62,0.21,22,21.9
Western Europe,Spain,65694,76342,81442,0.82,0.87,0.81,16.2,6.7
Western Europe,Sweden,42626,43689,45851,0.53,0.5,0.46,2.5,4.9
Western Europe,Switzerland,46151,48123,49607,0.57,0.55,0.49,4.3,3.1
Western Europe,U.K.,867601,941883,986296,10.81,10.7,9.83,8.6,4.7
Western Europe,Others,6702,13271,6492,0.08,0.15,0.06,98,-51.1
Western Europe,Total,1880203,2029412,2133673,23.42,23.05,21.26,7.9,5.1
