,Year,Region,Arrivals_x,Business,Leisure,Medical,Diaspora,Others,Arrivals_y,Mode,Percentage
0,2020,North America,122868.0,3.1,54.4,0.2,25.8,16.4,2744766,Air,79.2
1,2020,North America,122868.0,3.1,54.4,0.2,25.8,16.4,2744766,Sea,1.5
2,2020,North America,122868.0,3.1,54.4,0.2,25.8,16.4,2744766,Land,19.3
3,2020,North America,394092.0,9.8,41.2,0.1,29.7,19.2,2744766,Air,79.2
4,2020,North America,394092.0,9.8,41.2,0.1,29.7,19.2,2744766,Sea,1.5
5,2020,North America,394092.0,9.8,41.2,0.1,29.7,19.2,2744766,Land,19.3
6,2020,North America,,,,,,,2744766,Air,79.2
7,2020,North America,,,,,,,2744766,Sea,1.5
8,2020,North America,,,,,,,2744766,Land,19.3
9,2020,North America,516960.0,8.2,44.3,0.1,28.8,18.6,2744766,Air,79.2
10,2020,North America,516960.0,8.2,44.3,0.1,28.8,18.6,2744766,Sea,1.5
11,2020,North America,516960.0,8.2,44.3,0.1,28.8,18.6,2744766,Land,19.3
12,2020,Central And South America,4294.0,7.4,89.7,0.0,1.5,1.4,2744766,Air,79.2
13,2020,Central And South America,4294.0,7.4,89.7,0.0,1.5,1.4,2744766,Sea,1.5
14,2020,Central And South America,4294.0,7.4,89.7,0.0,1.5,1.4,2744766,Land,19.3
15,2020,Central And South America,8092.0,23.6,71.2,0.1,2.0,3.1,2744766,Air,79.2
16,2020,Central And South America,8092.0,23.6,71.2,0.1,2.0,3.1,2744766,Sea,1.5
17,2020,Central And South America,8092.0,23.6,71.2,0.1,2.0,3.1,2744766,Land,19.3
18,2020,Central And South America,4580.0,20.4,75.2,0.1,2.1,2.2,2744766,Air,79.2
19,2020,Central And South America,4580.0,20.4,75.2,0.1,2.1,2.2,2744766,Sea,1.5
20,2020,Central And South America,4580.0,20.4,75.2,0.1,2.1,2.2,2744766,Land,19.3
21,2020,Central And South America,10002.0,16.7,64.5,0.3,8.6,9.9,2744766,Air,79.2
22,2020,Central And South America,10002.0,16.7,64.5,0.3,8.6,9.9,2744766,Sea,1.5
23,2020,Central And South America,10002.0,16.7,64.5,0.3,8.6,9.9,2744766,Land,19.3
24,2020,Central And South America,26968.0,17.8,72.6,0.1,4.3,5.1,2744766,Air,79.2
25,2020,Central And South America,26968.0,17.8,72.6,0.1,4.3,5.1,2744766,Sea,1.5
26,2020,Central And South America,26968.0,17.8,72.6,0.1,4.3,5.1,2744766,Land,19.3
27,2020,Western Europe,9182.0,18.8,55.7,0.2,18.2,7.2,2744766,Air,79.2
